id,category,review,notes,date,rating,customer_region
1,Books,"Sparse experimental haiku about quantum states � unique-0","Outlier narrative",2024-01-01,4,NA
2,Electronics,"Device emitted lavender scent unexpectedly � unique-1","Outlier narrative",2024-01-02,4,EU
3,Home,"Warped panel and misaligned pre-drilled holes","Consistent complaint pattern",2024-01-03,2,APAC
4,Toys,"STEM kit engaged kids collaboratively for hours","Consistent praise pattern",2024-01-04,5,NA
5,Grocery,"Packaging crushed; contents stale and flavorless","Consistent complaint pattern",2024-01-05,2,EU
6,Clothing,"Wrench resonates faint harmonic at even torque � unique-5","Outlier narrative",2024-01-06,4,APAC
7,Tools,"High torque with balanced vibration control","Consistent praise pattern",2024-01-07,5,NA
8,Pets,"Dogs consistently engage; durable exterior after weeks; but Color blotched and faded after single wash","Mixed experience",2024-01-08,3,EU
9,Books,"Exceptional pacing and layered mystery kept me hooked; but Predictable plot with shallow character arcs","Mixed experience",2024-01-09,3,APAC
10,Electronics,"Battery life outstanding; display vibrant under sunlight; but Magnets detached within minutes of first use","Mixed experience",2024-01-10,3,NA
11,Home,"Assembly intuitive; materials feel premium and dense","Consistent praise pattern",2024-01-11,5,EU
12,Toys,"STEM kit engaged kids collaboratively for hours","Consistent praise pattern",2024-01-12,5,APAC
13,Grocery,"Cold brew smooth; balanced acidity and chocolate finish","Consistent praise pattern",2024-01-13,5,NA
14,Clothing,"Color blotched and faded after single wash","Consistent complaint pattern",2024-01-14,2,EU
15,Tools,"High torque with balanced vibration control; but Warped panel and misaligned pre-drilled holes","Mixed experience",2024-01-15,3,APAC
16,Pets,"Dogs consistently engage; durable exterior after weeks; but Color blotched and faded after single wash","Mixed experience",2024-01-16,3,NA
17,Books,"Exceptional pacing and layered mystery kept me hooked","Consistent praise pattern",2024-01-17,5,EU
18,Electronics,"Battery life outstanding; display vibrant under sunlight","Consistent praise pattern",2024-01-18,5,APAC
19,Home,"Assembly intuitive; materials feel premium and dense; but Handle cracked under light rotational stress","Mixed experience",2024-01-19,3,NA
20,Toys,"STEM kit engaged kids collaboratively for hours","Consistent praise pattern",2024-01-20,5,EU
21,Grocery,"Cold brew smooth; balanced acidity and chocolate finish","Consistent praise pattern",2024-01-21,5,APAC
22,Clothing,"Breathable fabric with consistent color retention; but Fabric seam frayed and stuffing escaped rapidly","Mixed experience",2024-01-22,3,NA
23,Tools,"High torque with balanced vibration control","Consistent praise pattern",2024-01-23,5,EU
24,Pets,"Fabric seam frayed and stuffing escaped rapidly","Consistent complaint pattern",2024-01-24,2,APAC
25,Books,"Exceptional pacing and layered mystery kept me hooked; but Predictable plot with shallow character arcs","Mixed experience",2024-01-25,3,NA
26,Electronics,"Battery life outstanding; display vibrant under sunlight","Consistent praise pattern",2024-01-26,5,EU
27,Home,"Warped panel and misaligned pre-drilled holes","Consistent complaint pattern",2024-01-27,2,APAC
28,Toys,"Magnets detached within minutes of first use","Consistent complaint pattern",2024-01-28,1,NA
29,Grocery,"Packaging crushed; contents stale and flavorless","Consistent complaint pattern",2024-01-29,2,EU
30,Clothing,"Breathable fabric with consistent color retention","Consistent praise pattern",2024-01-30,5,APAC
31,Tools,"High torque with balanced vibration control","Consistent praise pattern",2024-01-31,5,NA
32,Pets,"Fabric seam frayed and stuffing escaped rapidly","Consistent complaint pattern",2024-02-01,2,EU
33,Books,"Exceptional pacing and layered mystery kept me hooked","Consistent praise pattern",2024-02-02,5,APAC
34,Electronics,"Wrench resonates faint harmonic at even torque � unique-33","Outlier narrative",2024-02-03,4,NA
35,Home,"Warped panel and misaligned pre-drilled holes","Consistent complaint pattern",2024-02-04,2,EU
36,Toys,"Magnets detached within minutes of first use","Consistent complaint pattern",2024-02-05,2,APAC
37,Grocery,"Cold brew smooth; balanced acidity and chocolate finish","Consistent praise pattern",2024-02-06,5,NA
38,Clothing,"Color blotched and faded after single wash","Consistent complaint pattern",2024-02-07,2,EU
39,Tools,"Handle cracked under light rotational stress","Consistent complaint pattern",2024-02-08,2,APAC
